ResponseID,Campus,Position,StudyArea,ID,I01,I02,I03,I04,I05,I06,I07,I08,I09,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,Comment1,HowOftenL,HowOftenC,HowOftenW,NA1,NA2,NA3,NA4,NA5,NA6,NA7,NA8,NA9,NA10,NA11,NA12,NA13,NA14,NA15,NA16,NA17,NA18,NA19,NA20,NA21,NA22,NA23,NA24,NA25,NA26,NPS1
633,1,2,6,2,7,7,7,7,7,7,,7,,7,5,7,7,7,7,,7,7,7,,7,7,7,7,7,,7,7,7,5,5,5,,2,,6,5,4,3,4,4,,6,7,3,,5,5,5,5,5,,4,"I have three points to make.

1. Loan of books on 3-hour course reserves is extremely tied-down by bureaucratic red-tapes. I had to borrow two books for one week's readings (of the same course) to make photocopies of particular chapters from each book. Yet I was only allowed to loan one book at a time. Which means i needed 6 hours (3 hours each book) just to get access to my compulsory course readings for one week! I explained my situation to the librarian at the counter, but he/she (to protect his/her identity) told me that the library's policy could not allow me to loan both books together... despite his/her understanding of my situation...

2. Printing service - constantly problematic (more a problem with IITS?) such as papers being stuck (yet no refunds!!), printers being down...

3. Students should be discouraged from placing their mobile phones on the study tables. Whenever their phones vibrate (so vibration-mode should also be discouraged if the phones MUST be on the study tables), it is highly distracting to other students. Imagine this: on a long table of 10 students sharing (such as at tables infront of windows), 3 or 4 students have their mobile phones on the tables - and given how frequent students receive messages on their telegram chats - the vibrations of the phones are almost unending... This is especially because how the study table is one connected piece of material, and the vibration is amplified (sound travels faster and louder via solid materials)... It is extremely distracting for other students wishing to concentrate.",1,1,1,,,,,,,1,,1,,,,,,,1,,,,1,,,,,,1,7
642,1,6,2,1,5,7,7,6,5,7,,,6,7,6,7,6,7,7,7,7,7,7,7,7,6,6,,7,,5,7,7,7,6,7,,,7,7,7,7,5,7,7,7,7,7,7,6,7,6,6,,6,,7,,2,1,5,,,,,,,1,1,,,,,,,,,,,,,,,,1,,1,10
663,1,1,2,2,4,5,4,4,4,6,,6,,6,6,4,5,7,7,5,6,7,7,,7,4,7,,7,,5,6,4,4,4,5,,6,,5,5,4,5,2,2,3,4,6,4,,5,4,5,,5,,5,I hope that there's more spaces and privacy in the library.,2,1,2,,,,,,,1,,1,,,,,,,,,,,1,,,,1,,1,10
666,1,13,7,2,5,5,6,3,4,6,,6,6,5,,6,7,7,7,7,7,7,7,6,6,,6,6,,6,5,5,6,5,5,6,,6,6,6,,7,7,6,6,6,7,7,6,6,6,,6,6,,6,6,,4,1,4,,,,,,,1,,,,1,,,,,,,,,,,1,,,1,,10
691,2,1,2,2,6,7,6,6,6,5,,5,,,5,6,5,6,7,,5,7,7,,5,5,6,7,5,7,6,6,6,6,6,5,,5,,,5,6,5,3,3,,5,7,5,,6,5,6,6,5,5,6,Li Ka Shing is way too packed. Doesn’t seem to have enough space.,2,1,3,,,,,,,1,,1,1,,,,,,1,,,,1,,,,,,,8
734,1,2,2,2,5,7,7,4,3,7,,5,,4,6,5,5,7,7,,7,7,,7,7,7,6,5,5,7,6,5,5,5,4,5,,4,,4,6,6,6,2,3,,5,6,,6,5,5,2,5,5,4,6,,2,1,3,,,,,,,1,,1,,,,,,,1,,,1,,,,,,,,9
739,1,2,4,2,6,7,7,6,,7,,7,,,7,,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,,7,,6,,,7,,7,7,5,7,7,7,6,7,7,7,7,7,7,7,6,Have more resources that are not in course reserves (so that we can borrow for longer duration),2,1,2,,,,,1,,1,,1,1,,1,,,,,,,,,,,,,,,9
740,1,4,6,2,5,5,4,5,6,7,,,6,6,,,,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,5,5,6,6,,,6,4,,,,5,5,5,6,7,6,6,7,7,7,7,7,5,6,More study spaces would be good,3,2,2,,,,,,,1,1,,,1,1,1,,,,,,,,,,,,,,10
749,1,6,4,1,6,6,5,5,4,6,,,5,,7,7,7,6,6,6,7,7,7,5,7,7,,7,6,6,6,6,5,7,5,6,,,6,,7,7,7,5,7,6,7,7,5,5,7,7,,7,6,7,7,,2,1,3,,,,,,,1,1,,1,,,,,,,,,,,,,1,,,,10
778,2,1,5,2,7,7,7,5,7,7,,7,,7,7,7,7,7,7,,7,7,7,,7,7,7,7,,7,7,7,7,6,4,5,,7,,7,5,7,7,7,5,,7,7,5,,7,5,7,5,,5,6,Its quite weird how the library's operating hours on saturday and sunday are different,2,1,1,,,,,,,1,,1,,,,,,,1,,,,1,,,,,1,,10
827,1,2,3,2,7,7,7,7,7,7,7,7,,7,7,7,7,7,,,7,,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,,7,6,7,7,5,,,7,,6,7,6,7,7,7,7,7,7,,2,1,2,,,,,,,,,1,,,,,,1,1,,1,,,,,,,,,10
828,1,2,4,2,3,6,7,,1,7,7,7,,,7,,,4,4,2,6,7,7,5,4,5,7,7,3,7,6,6,7,,7,7,7,7,,,7,,,4,3,7,7,7,7,7,7,7,7,7,7,7,7,get rid of seat hoggers,2,1,2,,,,1,,,,,1,1,,1,1,,,,,,,,,,,,,,10
839,1,3,2,2,4,6,7,3,7,7,,,,7,7,7,7,7,6,,7,7,7,7,7,,7,7,7,7,5,7,6,5,5,7,,,,5,5,6,7,6,6,,7,7,5,6,5,,5,7,7,7,6,More online database reasources e.g trendwatching.com,1,1,2,,,,,,,1,1,1,,,,,,,1,,,,,,1,,,,,9
864,1,4,1,2,4,5,4,7,6,5,5,5,,,5,5,5,7,4,,5,7,6,,7,7,7,6,6,,3,4,5,6,6,5,5,6,,,5,5,5,6,4,,4,7,5,,7,7,7,7,7,,6,the library is always very crowded and it is quite hard to find seats sometimes. Is it possible to have a live update on how crowded the areas are at different levels in the library? similar to  the live system have in the its.,3,1,3,,,,,,,,,1,1,,,,,,1,,,,1,,,,,,1,8
875,2,2,2,2,5,7,6,7,6,7,,,,,7,,7,7,7,6,7,7,7,6,7,6,7,7,7,6,6,6,5,6,6,7,,,,,6,,6,3,1,6,3,7,7,5,3,6,7,7,6,6,6,"More study spaces for groups. More comprehensive databases such as IBISWorld, Global Market Insights",1,1,2,,,,,,,1,1,1,1,,1,,,,,,,,,,,,,,,8
922,1,1,6,2,4,4,6,,6,7,,7,,7,7,7,7,7,7,7,7,7,7,7,6,7,,7,,7,4,4,6,,6,7,,7,,7,5,7,7,5,5,5,7,7,7,7,6,5,,5,,7,6,"I feel that the new improvements to the library have made it a more conducive place for group and individual study. However, I realize that bookshelves are usually not fully filled and may be said to be taking up space which could be used to put tables. Perhaps it would be good to reorganize the placement of the shelves.",1,1,2,,,,1,,,1,,1,,,,,,,,,,,,,,1,,1,,10
934,1,3,2,1,5,4,4,,6,7,6,7,,,6,6,6,6,6,,6,6,5,6,6,6,6,6,6,6,5,5,4,,5,7,5,7,,,4,6,6,4,4,,6,6,4,6,6,6,6,6,6,6,6,,2,2,3,,,,1,,,,,1,1,,,,,,1,,,,,,,,,,,9
938,1,4,2,2,4,7,7,7,7,3,7,,,7,,7,7,7,7,,7,7,7,7,7,7,7,7,7,,3,6,6,7,7,7,6,,,7,,7,7,5,5,,7,7,7,6,7,6,7,6,6,,6,NIL,2,1,2,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,1,8
940,1,4,2,2,6,6,6,7,5,7,,7,7,7,7,7,7,7,7,,,7,7,,7,7,7,7,7,7,6,6,6,6,6,7,,6,7,7,7,7,7,6,7,,,7,7,,7,7,7,7,7,7,7,,2,2,3,,,,,,,1,,,,,,,,,1,1,,,1,,,,,,,5
958,1,6,2,2,3,3,5,,7,7,,7,,7,7,7,7,7,7,,7,7,7,,7,7,7,7,7,7,1,1,1,,1,1,,7,,5,3,5,7,5,5,,5,5,2,,1,1,4,1,1,3,3,"Clean the library more frequently. 
Increase the amount of subscribed databases.
Get more ebooks for required course textbooks.",1,1,2,,,,1,,,1,,1,,,,,,,1,,,,1,,,,,,,7
979,2,1,2,2,6,6,6,,6,6,,6,,6,6,6,6,7,6,,6,7,6,6,6,6,5,6,6,,5,6,6,,6,6,,6,,6,6,6,6,7,7,,7,7,6,6,6,6,5,6,6,,6,"The library can get slightly noisy especially at the entrance, because some people scream or talk very loudly just right outside the library for an extended period of time. It will be nice if the student assistant or librarian is able to help remind the students to keep the noise level slightly down aass students studying in the third level can be very susceptible to the noise and affect the productivity of students and serenity of the library. Overall, I really enjoy studying in the library, and the aircon and chairs are very comfortable.",2,1,4,,,,1,,,1,,1,,,,,,,1,,,,,,,,,,1,9
997,1,3,6,2,4,4,6,,4,,,,,6,5,6,6,2,3,6,6,7,6,7,7,7,7,7,7,7,5,4,4,,6,,,,,6,5,6,6,6,3,7,6,5,4,5,5,4,4,3,3,3,5,I would like the journals and databases to be made more accessible to students [in that it should be a lot easier to get to an article].,3,1,2,,,,1,,1,1,1,1,,,,,,,,,,,,,,,,,,5
1027,1,3,2,2,6,7,6,6,6,6,,6,,6,6,7,6,6,6,,,7,7,7,7,7,7,7,7,,6,7,6,6,6,5,,6,,5,6,7,6,6,6,,,7,7,7,7,7,7,7,7,,6,I find the resources available at the library very useful and some of the resources have really helped me for my courses.,2,2,2,,,,,,,1,,1,,,,,,,1,1,,,,,,,,,1,9
1035,1,4,6,2,7,7,7,7,7,7,,7,,,7,,7,4,4,,7,7,7,6,7,7,7,7,6,6,7,7,7,6,6,7,,7,,,7,,7,5,2,,7,7,7,7,7,7,7,7,7,5,7,More reminders for overdue books would be cool,3,2,2,,,,,,,1,,1,1,,1,,,,1,,,,,,,,,,,10
1055,1,3,2,2,5,5,5,4,5,6,,,,7,7,7,7,7,7,6,7,7,7,,7,7,6,7,5,6,4,5,5,5,4,6,,,,7,5,7,7,4,4,6,7,7,7,,6,6,4,6,5,6,5,,2,1,3,,,,,,,1,1,1,,,,,,,,,,,1,,,,,,,8
1092,1,2,3,1,4,5,7,1,4,7,,4,,,7,6,6,7,7,,7,7,7,6,4,7,,7,4,7,6,6,7,4,4,7,,4,,,6,6,6,2,2,,1,7,7,5,4,7,,7,4,7,5,"The main area of improvement that the Library incharges should concentrate on is the proper provision of individual tables. The recent renovation at Level 4 of Li Ka Shing Library has been quite disappointing especially the quiet area. The various desks in the quiet area have been removed and replaced with group study sofa chairs and in the quiet area, it is very difficult to even sit in a group. The desk were the best part about Level 4 especially the huge single tables right in front of the GSR 4-12. I hope that the place could include more tables.",1,1,1,,,,,,,1,,1,1,,,,,,1,,,,,,,1,,,,8
